title,rating,num_ratings,price,currency,author,type,date
Can't Hurt Me: Master Your Mind and Defy the Odds,"4,7 von 5 Sternen",(67.538),"20,41",€,David Goggins,Taschenbuch,10. Dezember 2018
The Little Book of Chanel: New Edition (Little Books of Fashion),"4,5 von 5 Sternen",(8.627),"11,49",€,Emma Baxter-Wright,Gebundenes Buch,5. Februar 2013
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"4,5 von 5 Sternen",(99.055),"12,44",€,Mark Manson,Taschenbuch,13. September 2016
Clean Code: A Handbook of Agile Software Craftsmanship (Robert C. Martin),"4,6 von 5 Sternen",(5.044),"27,87",€,,Taschenbuch,1. August 2008
"Thinking, Fast and Slow: Daniel Kahneman","4,6 von 5 Sternen",(33.078),"11,49",€,Daniel Kahneman,Taschenbuch,10. Mai 2012
Never Split the Difference: Negotiating as if Your Life Depended on It,"4,6 von 5 Sternen",(22.039),"5,69",€,Chris Voss,Taschenbuch,23. März 2017
"The Culture Map: Decoding How People Think, Lead, and Get Things Done Across Cultures","4,7 von 5 Sternen",(3.627),"12,82",€,Erin Meyer,Taschenbuch,5. Januar 2016
Deep Work: Rules for Focused Success in a Distracted World,"4,5 von 5 Sternen",(23.153),"11,95",€,Cal Newport,Taschenbuch,5. Januar 2016
How To Win Friends And Influence People,"4,6 von 5 Sternen",(95.489),"0,30",€,Dale Carnegie,Taschenbuch,27. April 2010
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"4,7 von 5 Sternen",(123.951),"18,20",€,James Clear,Gebundenes Buch,16. Oktober 2018
The Intelligent Investor,"4,6 von 5 Sternen",(23.697),"0,00",€,Benjamin Graham,Taschenbuch,21. Februar 2006
"Clean
 Architecture: A Craftsman's Guide to Software Structure and Design: A 
Craftsman's Guide to Software Structure and Design (Robert C. Martin 
Series)","4,7 von 5 Sternen",(2.461),"12,28",€,Robert C. Martin,Taschenbuch,17. September 2017
Why Men Love Bitches: From Doormat to Dreamgirl―A Woman's Guide to Holding Her Own in a Relationship,"4,5 von 5 Sternen",(17.535),"11,86",€,Sherry Argov,Taschenbuch,1. Oktober 2002
Chanel: Collections and Creations,"4,7 von 5 Sternen",(17.971),"25,85",€,,Gebundenes Buch,30. September 2007
"1984 (2016): The dystopian classic reimagined with cover art by Shepard Fairey (Penguin Essentials, 95)","4,6 von 5 Sternen",(99.733),"0,30",€,George Orwell,Taschenbuch,1. April 2016
Ottolenghi SIMPLE,"4,7 von 5 Sternen",(8.158),"24,90",€,Yotam Ottolenghi,Gebundenes Buch,6. September 2018
The Secret History: From the Pulitzer Prize-winning author of The Goldfinch,"4,4 von 5 Sternen",(22.051),"8,54",€,Donna Tartt,Taschenbuch,27. Mai 1993
Everything I Know About Love: Now a Major BBC One Series,"4,4 von 5 Sternen",(19.343),"9,39",€,Dolly Alderton,Taschenbuch,7. Februar 2019
Start with Why: How Great Leaders Inspire Everyone to Take Action,"4,5 von 5 Sternen",(12.142),,,,Taschenbuch,27. Dezember 2011
Principles: Life and Work,"4,5 von 5 Sternen",(13.012),"20,78",€,Ray Dalio,Gebundenes Buch,19. September 2017
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","4,8 von 5 Sternen",(20.960),"18,99",€,Samin Nosrat,Gebundenes Buch,1. August 2017
Measure What Matters: The Simple Idea that Drives 10x Growth,"4,4 von 5 Sternen",(6.630),"13,40",€,John Doerr,Taschenbuch,26. April 2018
"All About Love: New Visions (Love Song to the Nation, 1, Band 1)","4,7 von 5 Sternen",(9.311),"8,99",€,bell hooks,Taschenbuch,30. Januar 2018
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,"4,3 von 5 Sternen",(16.899),"14,74",€,Steven Pressfield,Taschenbuch,11. Januar 2012
Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual,"4,6 von 5 Sternen",(3.088),"14,92",€,Yvon Chouinard,Taschenbuch,6. September 2016
The Mamba Mentality: How I Play,"4,8 von 5 Sternen",(24.698),"22,86",€,Kobe Bryant,Gebundenes Buch,23. Oktober 2018
Cornelsen Senior English Library - Literatur - Ab 11. Schuljahr: Fahrenheit 451 - Textband mit Annotationen,"4,3 von 5 Sternen",(531),"9,82",€,,Paperback,5. Juli 2005
Mastery: Robert Greene (The Modern Machiavellian Robert Greene),"4,6 von 5 Sternen",(7.135),"8,34",€,Robert Greene,Taschenbuch,19. November 2012
"Kalte Asche: Thriller | Das Buch zur Serie ""Die Chemie des Todes"" auf Paramount+: David Hunters 2. Fall","4,5 von 5 Sternen",(6.928),"11,49",€,Simon Beckett,Taschenbuch,1. August 2008
Ottolenghi FLAVOUR,"4,7 von 5 Sternen",(7.876),"17,99",€,Yotam Ottolenghi,Gebundenes Buch,3. September 2020
"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich","4,4 von 5 Sternen",(20.214),"13,40",€,Timothy Ferriss,Taschenbuch,6. Januar 2011
Dead Poets Society: A novel,"4,6 von 5 Sternen",(2.337),"8,23",€,,Taschenbuch,1. September 2006
Mieses Karma: Roman,"4,3 von 5 Sternen",(5.726),"11,49",€,David Safier,Taschenbuch,2. Mai 2008
"The Complete MAUS, english edition: A Survivor's Tale. Winner of the Pulitzer Prize 1992. Content: My Father Bleeds History / And Here My Troubles Began","4,8 von 5 Sternen",(9.944),"14,36",€,Art Spiegelman,Taschenbuch,2. Oktober 2003
The Design of Everyday Things: Revised and Expanded Edition,"4,7 von 5 Sternen",(5.677),"14,36",€,Don Norman,Taschenbuch,5. November 2013
The Song of Achilles: Bloomsbury Modern Classics,"4,7 von 5 Sternen",(64.560),"10,05",€,Madeline Miller,Taschenbuch,21. September 2017
Make Your Bed: Feel grounded and think positive in 10 simple steps,"4,6 von 5 Sternen",(31.851),"9,47",€,,Gebundenes Buch,15. Juni 2017
