,title,rating,num_ratings,price,currency,author,type,date
0,Can't Hurt Me: Master Your Mind and Defy the Odds,4.7,67538.0,20.41,€,David Goggins,Taschenbuch,10. Dezember 2018
1,The Little Book of Chanel: New Edition (Little Books of Fashion),4.5,8627.0,11.49,€,Emma Baxter-Wright,Gebundenes Buch,5. Februar 2013
2,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.5,99055.0,12.44,€,Mark Manson,Taschenbuch,13. September 2016
4,"Thinking, Fast and Slow: Daniel Kahneman",4.6,33078.0,11.49,€,Daniel Kahneman,Taschenbuch,10. Mai 2012
5,Never Split the Difference: Negotiating as if Your Life Depended on It,4.6,22039.0,5.69,€,Chris Voss,Taschenbuch,23. März 2017
6,"The Culture Map: Decoding How People Think, Lead, and Get Things Done Across Cultures",4.7,3627.0,12.82,€,Erin Meyer,Taschenbuch,5. Januar 2016
7,Deep Work: Rules for Focused Success in a Distracted World,4.5,23153.0,11.95,€,Cal Newport,Taschenbuch,5. Januar 2016
8,How To Win Friends And Influence People,4.6,95489.0,0.3,€,Dale Carnegie,Taschenbuch,27. April 2010
9,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,4.7,123951.0,18.2,€,James Clear,Gebundenes Buch,16. Oktober 2018
10,The Intelligent Investor,4.6,23697.0,0.0,€,Benjamin Graham,Taschenbuch,21. Februar 2006
11,"Clean
 Architecture: A Craftsman's Guide to Software Structure and Design: A 
Craftsman's Guide to Software Structure and Design (Robert C. Martin 
Series)",4.7,2461.0,12.28,€,Robert C. Martin,Taschenbuch,17. September 2017
12,Why Men Love Bitches: From Doormat to Dreamgirl―A Woman's Guide to Holding Her Own in a Relationship,4.5,17535.0,11.86,€,Sherry Argov,Taschenbuch,1. Oktober 2002
14,"1984 (2016): The dystopian classic reimagined with cover art by Shepard Fairey (Penguin Essentials, 95)",4.6,99733.0,0.3,€,George Orwell,Taschenbuch,1. April 2016
15,Ottolenghi SIMPLE,4.7,8158.0,24.9,€,Yotam Ottolenghi,Gebundenes Buch,6. September 2018
16,The Secret History: From the Pulitzer Prize-winning author of The Goldfinch,4.4,22051.0,8.54,€,Donna Tartt,Taschenbuch,27. Mai 1993
17,Everything I Know About Love: Now a Major BBC One Series,4.4,19343.0,9.39,€,Dolly Alderton,Taschenbuch,7. Februar 2019
19,Principles: Life and Work,4.5,13012.0,20.78,€,Ray Dalio,Gebundenes Buch,19. September 2017
